,url,scene_tag,start_frame,end_frame,mean_frame
0,/RS03ASHS/PN03B/06-CAMHDA301/2015/11/20/CAMHDA301-20151120T000000Z.mov,d2_p2_z0,2521,2601,2561
1,/RS03ASHS/PN03B/06-CAMHDA301/2015/11/20/CAMHDA301-20151120T000000Z.mov,d2_p2_z0,2671,2781,2726
2,/RS03ASHS/PN03B/06-CAMHDA301/2015/11/20/CAMHDA301-20151120T000000Z.mov,d2_p2_z0,4001,4211,4106
3,/RS03ASHS/PN03B/06-CAMHDA301/2015/11/20/CAMHDA301-20151120T000000Z.mov,d2_p2_z0,4291,4361,4326
4,/RS03ASHS/PN03B/06-CAMHDA301/2015/11/21/CAMHDA301-20151121T000000Z.mov,d2_p2_z0,2671,2781,2726
5,/RS03ASHS/PN03B/06-CAMHDA301/2015/11/21/CAMHDA301-20151121T000000Z.mov,d2_p2_z0,4001,4211,4106
6,/RS03ASHS/PN03B/06-CAMHDA301/2015/11/21/CAMHDA301-20151121T000000Z.mov,d2_p2_z0,4291,4361,4326
7,/RS03ASHS/PN03B/06-CAMHDA301/2015/11/21/CAMHDA301-20151121T150000Z.mov,d2_p2_z0,2491,2611,2551
8,/RS03ASHS/PN03B/06-CAMHDA301/2015/11/21/CAMHDA301-20151121T150000Z.mov,d2_p2_z0,2661,2771,2716
9,/RS03ASHS/PN03B/06-CAMHDA301/2015/11/21/CAMHDA301-20151121T150000Z.mov,d2_p2_z0,3991,4201,4096
10,/RS03ASHS/PN03B/06-CAMHDA301/2015/11/21/CAMHDA301-20151121T150000Z.mov,d2_p2_z0,4301,4341,4321
11,/RS03ASHS/PN03B/06-CAMHDA301/2015/11/21/CAMHDA301-20151121T180000Z.mov,d2_p2_z0,2521,2621,2571
12,/RS03ASHS/PN03B/06-CAMHDA301/2015/11/21/CAMHDA301-20151121T180000Z.mov,d2_p2_z0,2671,2781,2726
13,/RS03ASHS/PN03B/06-CAMHDA301/2015/11/21/CAMHDA301-20151121T180000Z.mov,d2_p2_z0,4001,4211,4106
14,/RS03ASHS/PN03B/06-CAMHDA301/2015/11/21/CAMHDA301-20151121T180000Z.mov,d2_p2_z0,4271,4351,4311
15,/RS03ASHS/PN03B/06-CAMHDA301/2015/11/21/CAMHDA301-20151121T210000Z.mov,d2_p2_z0,2661,2771,2716
16,/RS03ASHS/PN03B/06-CAMHDA301/2015/11/21/CAMHDA301-20151121T210000Z.mov,d2_p2_z0,3991,4191,4091
17,/RS03ASHS/PN03B/06-CAMHDA301/2015/11/21/CAMHDA301-20151121T210000Z.mov,d2_p2_z0,4261,4341,4301
18,/RS03ASHS/PN03B/06-CAMHDA301/2015/11/22/CAMHDA301-20151122T000000Z.mov,d2_p2_z0,2541,2651,2596
19,/RS03ASHS/PN03B/06-CAMHDA301/2015/11/22/CAMHDA301-20151122T000000Z.mov,d2_p2_z0,3871,4081,3976
20,/RS03ASHS/PN03B/06-CAMHDA301/2015/11/22/CAMHDA301-20151122T000000Z.mov,d2_p2_z0,4161,4221,4191
21,/RS03ASHS/PN03B/06-CAMHDA301/2015/11/22/CAMHDA301-20151122T030000Z.mov,d2_p2_z0,2491,2551,2521
22,/RS03ASHS/PN03B/06-CAMHDA301/2015/11/22/CAMHDA301-20151122T030000Z.mov,d2_p2_z0,2631,2751,2691
23,/RS03ASHS/PN03B/06-CAMHDA301/2015/11/22/CAMHDA301-20151122T030000Z.mov,d2_p2_z0,3961,4171,4066
24,/RS03ASHS/PN03B/06-CAMHDA301/2015/11/22/CAMHDA301-20151122T030000Z.mov,d2_p2_z0,4241,4321,4281
25,/RS03ASHS/PN03B/06-CAMHDA301/2015/11/22/CAMHDA301-20151122T060000Z.mov,d2_p2_z0,2521,2641,2581
26,/RS03ASHS/PN03B/06-CAMHDA301/2015/11/22/CAMHDA301-20151122T060000Z.mov,d2_p2_z0,2691,2801,2746
27,/RS03ASHS/PN03B/06-CAMHDA301/2015/11/22/CAMHDA301-20151122T060000Z.mov,d2_p2_z0,4011,4221,4116
28,/RS03ASHS/PN03B/06-CAMHDA301/2015/11/22/CAMHDA301-20151122T060000Z.mov,d2_p2_z0,4281,4371,4326
29,/RS03ASHS/PN03B/06-CAMHDA301/2015/11/22/CAMHDA301-20151122T090000Z.mov,d2_p2_z0,2511,2601,2556
30,/RS03ASHS/PN03B/06-CAMHDA301/2015/11/22/CAMHDA301-20151122T090000Z.mov,d2_p2_z0,2651,2761,2706
31,/RS03ASHS/PN03B/06-CAMHDA301/2015/11/22/CAMHDA301-20151122T090000Z.mov,d2_p2_z0,3981,4151,4066
32,/RS03ASHS/PN03B/06-CAMHDA301/2015/11/22/CAMHDA301-20151122T090000Z.mov,d2_p2_z0,4221,4341,4281
33,/RS03ASHS/PN03B/06-CAMHDA301/2015/11/22/CAMHDA301-20151122T120000Z.mov,d2_p2_z0,2391,2651,2521
34,/RS03ASHS/PN03B/06-CAMHDA301/2015/11/22/CAMHDA301-20151122T120000Z.mov,d2_p2_z0,3861,4041,3951
35,/RS03ASHS/PN03B/06-CAMHDA301/2015/11/22/CAMHDA301-20151122T120000Z.mov,d2_p2_z0,4091,4221,4156
36,/RS03ASHS/PN03B/06-CAMHDA301/2015/11/22/CAMHDA301-20151122T150000Z.mov,d2_p2_z0,2481,2571,2526
37,/RS03ASHS/PN03B/06-CAMHDA301/2015/11/22/CAMHDA301-20151122T150000Z.mov,d2_p2_z0,2631,2741,2686
38,/RS03ASHS/PN03B/06-CAMHDA301/2015/11/22/CAMHDA301-20151122T150000Z.mov,d2_p2_z0,3961,4171,4066
39,/RS03ASHS/PN03B/06-CAMHDA301/2015/11/22/CAMHDA301-20151122T150000Z.mov,d2_p2_z0,4231,4321,4276
40,/RS03ASHS/PN03B/06-CAMHDA301/2015/11/22/CAMHDA301-20151122T180000Z.mov,d2_p2_z0,2511,2771,2641
41,/RS03ASHS/PN03B/06-CAMHDA301/2015/11/22/CAMHDA301-20151122T180000Z.mov,d2_p2_z0,3981,4201,4091
42,/RS03ASHS/PN03B/06-CAMHDA301/2015/11/22/CAMHDA301-20151122T180000Z.mov,d2_p2_z0,4261,4341,4301
43,/RS03ASHS/PN03B/06-CAMHDA301/2015/11/22/CAMHDA301-20151122T210000Z.mov,d2_p2_z0,2521,2571,2546
44,/RS03ASHS/PN03B/06-CAMHDA301/2015/11/22/CAMHDA301-20151122T210000Z.mov,d2_p2_z0,2671,2771,2721
45,/RS03ASHS/PN03B/06-CAMHDA301/2015/11/22/CAMHDA301-20151122T210000Z.mov,d2_p2_z0,3991,4201,4096
46,/RS03ASHS/PN03B/06-CAMHDA301/2015/11/22/CAMHDA301-20151122T210000Z.mov,d2_p2_z0,4261,4351,4306
47,/RS03ASHS/PN03B/06-CAMHDA301/2015/11/23/CAMHDA301-20151123T000000Z.mov,d2_p2_z0,2591,2651,2621
48,/RS03ASHS/PN03B/06-CAMHDA301/2015/11/23/CAMHDA301-20151123T000000Z.mov,d2_p2_z0,2701,2811,2756
49,/RS03ASHS/PN03B/06-CAMHDA301/2015/11/23/CAMHDA301-20151123T000000Z.mov,d2_p2_z0,4031,4241,4136
50,/RS03ASHS/PN03B/06-CAMHDA301/2015/11/23/CAMHDA301-20151123T000000Z.mov,d2_p2_z0,4341,4381,4361
